threshold,TP,FP,TN,FN,TPR = sensitivity = hit rate = recall,TNR = specificity,FPR = fallout = 1 - specificity,accuracy,positive predictive value (PPV) = precision,false discovery rate (FDR) = 1 - PPV,negative predictive value (NPV),false omission rate (FOR) = 1 - NPV,Matthews correlation coefficient (MCC)
0.3114324312939556,39.0,5.0,38.0,4.0,0.9069767441860465,0.8837209302325582,0.11627906976744186,0.8953488372093024,0.8863636363636364,0.11363636363636363,0.9047619047619048,0.09523809523809523,0.7909115788387002
0.2491459450351643,39.0,5.0,38.0,4.0,0.9069767441860465,0.8837209302325582,0.11627906976744186,0.8953488372093024,0.8863636363636364,0.11363636363636363,0.9047619047619048,0.09523809523809523,0.7909115788387002
0.18685945877637344,39.0,6.0,37.0,4.0,0.9069767441860465,0.8604651162790697,0.13953488372093023,0.8837209302325582,0.8666666666666667,0.13333333333333333,0.9024390243902439,0.0975609756097561,0.768273325346536
0.12457297251758215,41.0,7.0,36.0,2.0,0.9534883720930233,0.8372093023255814,0.16279069767441862,0.8953488372093024,0.8541666666666666,0.14583333333333334,0.9473684210526315,0.05263157894736842,0.7960979398444399
0.06228648625879085,41.0,8.0,35.0,2.0,0.9534883720930233,0.813953488372093,0.18604651162790697,0.8837209302325582,0.8367346938775511,0.16326530612244897,0.9459459459459459,0.05405405405405406,0.7750237972966844
0.0,41.0,8.0,35.0,2.0,0.9534883720930233,0.813953488372093,0.18604651162790697,0.8837209302325582,0.8367346938775511,0.16326530612244897,0.9459459459459459,0.05405405405405406,0.7750237972966844
-0.048169741694542995,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.09633948338908599,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.14450922508362898,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.19267896677817198,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.24084870847271497,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.28901845016725797,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.33718819186180093,43.0,9.0,34.0,0.0,1.0,0.7906976744186046,0.20930232558139536,0.8953488372093024,0.8269230769230769,0.17307692307692307,1.0,0.0,0.8086075400626399
-0.38535793355634396,43.0,10.0,33.0,0.0,1.0,0.7674418604651163,0.23255813953488372,0.8837209302325582,0.8113207547169812,0.18867924528301888,1.0,0.0,0.7890763647670371
-0.433527675250887,43.0,12.0,31.0,0.0,1.0,0.7209302325581395,0.27906976744186046,0.8604651162790697,0.7818181818181819,0.21818181818181817,1.0,0.0,0.7507571935295483
-0.48169741694542995,43.0,13.0,30.0,0.0,1.0,0.6976744186046512,0.3023255813953488,0.8488372093023255,0.7678571428571429,0.23214285714285715,1.0,0.0,0.7319250547113999
-0.5298671586399729,43.0,14.0,29.0,0.0,1.0,0.6744186046511628,0.32558139534883723,0.8372093023255814,0.7543859649122807,0.24561403508771928,1.0,0.0,0.7132825035177587
-0.5780369003345159,43.0,14.0,29.0,0.0,1.0,0.6744186046511628,0.32558139534883723,0.8372093023255814,0.7543859649122807,0.24561403508771928,1.0,0.0,0.7132825035177587
-0.626206642029059,43.0,14.0,29.0,0.0,1.0,0.6744186046511628,0.32558139534883723,0.8372093023255814,0.7543859649122807,0.24561403508771928,1.0,0.0,0.7132825035177587
-0.6743763837236019,43.0,16.0,27.0,0.0,1.0,0.627906976744186,0.37209302325581395,0.813953488372093,0.7288135593220338,0.2711864406779661,1.0,0.0,0.676481425202546
-0.7225461254181449,43.0,18.0,25.0,0.0,1.0,0.5813953488372093,0.4186046511627907,0.7906976744186046,0.7049180327868853,0.29508196721311475,1.0,0.0,0.6401843996644798
-0.7707158671126879,43.0,18.0,25.0,0.0,1.0,0.5813953488372093,0.4186046511627907,0.7906976744186046,0.7049180327868853,0.29508196721311475,1.0,0.0,0.6401843996644798
-0.8188856088072309,43.0,18.0,25.0,0.0,1.0,0.5813953488372093,0.4186046511627907,0.7906976744186046,0.7049180327868853,0.29508196721311475,1.0,0.0,0.6401843996644798
-0.867055350501774,43.0,19.0,24.0,0.0,1.0,0.5581395348837209,0.4418604651162791,0.7790697674418605,0.6935483870967742,0.3064516129032258,1.0,0.0,0.6221710168382552
-0.9152250921963169,43.0,21.0,22.0,0.0,1.0,0.5116279069767442,0.4883720930232558,0.7558139534883721,0.671875,0.328125,1.0,0.0,0.5863019699779287
-0.9633948338908599,43.0,23.0,20.0,0.0,1.0,0.46511627906976744,0.5348837209302325,0.7325581395348837,0.6515151515151515,0.3484848484848485,1.0,0.0,0.5504818825631803
-1.0115645755854028,43.0,23.0,20.0,0.0,1.0,0.46511627906976744,0.5348837209302325,0.7325581395348837,0.6515151515151515,0.3484848484848485,1.0,0.0,0.5504818825631803
